score,status,name,type,url,why_it_passes,next_step
87,blocked,Cylex US,local directory,https://www.cylex.us.com/,"States registration is quick, easy, and free; supports services/profile","Signup started; blocked by CAPTCHA before account registration can finish"
87,blocked,EZlocal,local directory,https://ezlocal.com/free-business-listing/,"Documented free business listing flow; local citation","Form filled; blocked by CAPTCHA before submission"
86,needs_approval,MerchantCircle,local directory,https://www.merchantcircle.com/signup,"Known local directory; form prefilled","Submit only if promotional call/text consent is acceptable"
86,blocked,Brownbook,local directory,https://www.brownbook.net/add-business,"Known free business directory; supports business profiles","Listing details filled; account creation step blocked by CAPTCHA"
86,watch,Superpages,local directory,https://www.superpages.com/,"Established local directory and citation source","Search/claim if available"
86,watch,DexKnows,local directory,https://www.dexknows.com/,"Established local directory and citation source","Search/claim if available"
85,watch,MapQuest Business,local/maps profile,https://business.mapquest.com/,"Maps/local discovery citation source","Find current add/claim flow"
85,watch,Nextdoor Business,local/social profile,https://business.nextdoor.com/local,"Real local audience and service-area discovery","Requires owner login/verification"
85,watch,Crunchbase,company profile,https://www.crunchbase.com/add-new,"High-trust company/entity profile","Create company profile if accepted"
84,watch,Angi Pro,service marketplace,https://www.angi.com/companylist/signup.htm,"Real marketplace; profile can support service discovery","Avoid paid leads unless desired"
84,watch,Thumbtack Pro,service marketplace,https://www.thumbtack.com/pro,"Real services marketplace; free profile possible","Avoid paid leads unless desired"
84,watch,Google Search Console,indexing/ownership,https://search.google.com/search-console,"No backlink, but essential canonical ownership/indexing signal","Verify property and submit sitemap"
83,watch,Dun & Bradstreet D-U-N-S,business identity,https://www.dnb.com/duns/get-a-duns.html,"High-trust business identity/entity data, not a classic backlink","Request D-U-N-S if appropriate"
83,watch,Product Hunt,launch/community profile,https://www.producthunt.com/,"High-quality product/community profile if positioned well","Use only with real launch story"
83,watch,Indie Hackers,founder/community profile,https://www.indiehackers.com/,"Relevant founder/business community; genuine profile value","Create honest founder/project profile"
82,watch,Hacker News,community profile,https://news.ycombinator.com/,"High-trust technical community; profile/showcase only if useful","Create account; avoid promotional posting"
82,verified,Alignable,local business network,https://www.alignable.com/,"Real small-business network; local referral profile","Signup completed by owner after reCAPTCHA"
82,watch,Web Design Awards Agency Listing,web design agency directory,https://www.webdesignawards.io/list-my-agency,"Relevant web design agency directory; free tier advertised","Submit agency profile"
82,watch,Great Work Guild,agency directory,https://greatworkguild.com/,"Relevant agency/work directory; curated positioning","Inspect application requirements"
81,watch,10BestDesignFirms,web design agency directory,https://www.10bestdesign.com/,"Relevant web design ranking/directory site","Inspect submission/contact path"
81,watch,UpCity,agency/local marketplace,https://upcity.com/,"Known agency/local marketplace with web design/SEO categories","Find current listing/claim flow"
80,watch,SaaSHub,software/startup directory,https://www.saashub.com/,"High-quality software/startup directory if The Web Guy has a productized offer","Use only if positioning fits"
80,watch,AlternativeTo,software/product directory,https://alternativeto.net/,"High-quality product directory; only if there is a comparable tool/product","Use only for productized app/tool"
80,watch,BetaList,startup directory,https://betalist.com/,"Known startup launch directory","Use only if positioned as startup/service launch"
80,watch,StartupBase,startup directory,https://startupbase.io/,"Known startup profile directory","Inspect current submission flow"
79,watch,Launching Next,startup directory,https://www.launchingnext.com/,"Known startup launch directory","Inspect current free submission"
79,watch,Uneed,startup/tool directory,https://www.uneed.best/,"Curated product/tool discovery; relevant if productized","Inspect submission quality"
79,watch,BetaPage,startup directory,https://betapage.co/,"Startup/product listing site","Use only if launch positioning fits"
78,watch,KillerStartups,startup directory,https://killerstartups.com/,"Long-running startup discovery site","Inspect submit startup flow"
78,watch,Crozdesk,software marketplace,https://crozdesk.com/,"Good software marketplace if an actual software product exists","Use only for productized tools"
78,watch,G2,software marketplace,https://www.g2.com/,"High-trust software review site, but requires actual software product","Use only for product/SaaS"
78,watch,Capterra,software marketplace,https://www.capterra.com/vendors/sign-up,"High-trust software marketplace; only for software products","Use only if The Web Guy launches software"
77,watch,GitHub Profile/Organization,developer profile,https://github.com/,"High-trust developer/entity profile with website link","Add URL to profile/org if owner login available"
77,watch,NPM Profile,developer package profile,https://www.npmjs.com/,"High-trust developer ecosystem; only if publishing packages","Use only with real package/project"
77,watch,CodePen,developer portfolio,https://codepen.io/accounts/signup/user/free,"Developer profile/portfolio; relevant for front-end work","Create profile with honest portfolio"
77,watch,Dev.to,developer publication/profile,https://dev.to/enter,"Developer profile and articles; relevant content links","Create profile; publish useful article later"
77,watch,Hashnode,developer publication/profile,https://hashnode.com/,"Developer publication profile; relevant for technical posts","Create profile if content plan exists"
76,watch,Behance,portfolio profile,https://www.behance.net/,"High-trust creative portfolio; useful if visual work/cases available","Create portfolio only with real work"
76,watch,Dribbble,design portfolio,https://dribbble.com/,"High-trust design portfolio; useful if visuals/cases available","Create profile if portfolio assets exist"
76,watch,Awwwards Directory/Profile,web design showcase,https://www.awwwards.com/,"High-trust web design showcase; submissions may be paid","Use only if submitting site/design"
76,watch,CSS Design Awards,web design showcase,https://www.cssdesignawards.com/,"Relevant web design showcase; submissions may be paid","Inspect free/profile options"
75,watch,The Manifest,B2B service directory,https://themanifest.com/,"B2B company directory related to Clutch ecosystem","Inspect listing flow"
75,watch,Sortlist,agency marketplace,https://www.sortlist.com/,"Agency marketplace with web/dev categories","Inspect free provider registration"
75,watch,Agency Spotter,agency directory,https://www.agencyspotter.com/,"Agency directory; relevant if accepting small/freelance agencies","Inspect claim/listing flow"
75,watch,MarTech Record Agency Directory,agency directory,https://martechrecord.com/agencies/,"Marketing/commerce agency directory; relevant if accepted","Inspect submission/contact"
74,watch,Bark,service marketplace,https://www.bark.com/en/us/sellers/,"Real services marketplace; profile possible but leads may cost","Avoid paid leads unless desired"
74,watch,ProvenExpert,business reviews/profile,https://www.provenexpert.com/,"Business review/profile platform; may offer free profile","Inspect free tier"
74,watch,Trustpilot,business review/profile,https://business.trustpilot.com/,"High-trust review platform; free claimed profile may exist","Inspect free business profile"
73,watch,Sitejabber,business review/profile,https://www.sitejabber.com/business,"Review/business profile site; free claim may exist","Inspect free business signup"
73,watch,About.me,personal profile,https://about.me/,"Simple personal/entity profile with website link","Create Gary/The Web Guy profile if appropriate"
73,watch,Gravatar/Profile,identity profile,https://gravatar.com/,"Public identity/profile tied to email; link support","Set business/site link"
72,watch,Quora Business/Topic participation,community profile,https://www.quora.com/,"Profile link possible; value comes from useful participation","Do not spam answers"
72,watch,Medium Profile,publication/profile,https://medium.com/,"Profile and useful articles; relevant for technical content","Create profile; publish original article later"
72,watch,Substack Profile,publication/profile,https://substack.com/,"Publication/profile; relevant if writing web support notes","Use only with content plan"
72,watch,YouTube Channel,brand media profile,https://www.youtube.com/,"High-trust brand profile with website links after verification","Requires Google login"
72,watch,Vimeo Profile,media profile,https://vimeo.com/,"Portfolio/profile link; useful if video demos exist","Use only if media assets exist"
71,watch,AboutUs,website/business profile,https://aboutus.com/,"Older website profile/wiki style; check quality before submitting","Manual review first"
71,blocked,Cybo,local directory,https://www.cybo.com/add-business,"Global business directory with local company pages","Business details entered; waiting for magic login link sent to Gmail"
71,watch,Kompass US,company directory,https://us.kompass.com/,"Established B2B company directory","Inspect free profile path"
70,blocked,ShowMeLocal,local directory,https://www.showmelocal.com/,"Known local directory; free basic listing likely","Blocked by anti-bot browser check before registration form"
70,blocked,Fyple,local directory,https://www.fyple.com/,"Known free local directory; acceptable if current site quality is okay","Registration is in maintenance mode; add-company requires login"
70,blocked,Lacartes,local directory,https://www.lacartes.com/register.php,"Known business directory; acceptable if clean","Account form filled; final create-account step blocked by reCAPTCHA/email verification"
70,watch,Tupalo,local directory,https://www.tupalo.com/,"Known local directory; acceptable if clean","Search/add"
70,watch,FindUsHere,local directory,https://www.find-us-here.com/,"Known directory; acceptable if clean","Inspect add listing"
